Raleigh,NC,35.77959,-78.638179,403892,32.5,90.5,55398,16,13.2,259.8
Rochester,NY,43.16103,-77.610922,210565,44.7,86,36692,18.7,0.6,126.7
San Diego,CA,32.715738,-117.161084,1307402,34,87.3,66116,15.4,26.6,223.5
Santa Barbara,CA,34.420831,-119.69819,88410,36.7,84.1,66107,13.9,24.9,306
Santa Cruz,CA,36.974117,-122.030796,64465,28.7,92.8,62164,23.8,13.9,491.5
Seattle,WA,47.606209,-122.332071,608660,35.8,93.4,70594,13.5,18.1,447.3
South Bend,IN,41.676355,-86.25199,101168,33.7,83.5,34523,28.3,8.1,570.7
St. Louis,MO,38.627003,-90.199404,319294,34.6,84.3,34524,19.6,1.4,912.6
Stanford,CA,37.424106,-122.166076,13809,36.8,83.8,21875,32.3,0,46.9
Stony Brook,NY,40.925654,-73.140943,13740,35.2,84.5,52188,16.7,5.2,89.4
Storrs,CT,41.808431,-72.249523,15344,31.1,84.2,51211,14.3,4.3,23.4
Syracuse,NY,43.048122,-76.147424,145170,33.4,77,44107,13.6,18.9,396.4
Tallahassee,FL,30.438256,-84.280733,181376,26.2,92.5,39681,29.7,8.2,559.7
Troy,NY,42.728412,-73.691785,49702,25.6,83.7,31707,31.1,4.7,381.1
Tulsa,OK,36.153982,-95.992775,391906,34.9,86.9,42284,20.2,10.3,657.7
University Park,PA,40.814796,-77.865313,41992,27.1,91.4,46719,13,1.5,167.3
Villanova,PA,40.037583,-75.349181,9189,27.8,94.6,67222,12.1,8.1,104.8
Waco,TX,31.549333,-97.14667,124805,44,70.2,35781,15.4,0.8,352.2
Waltham,MA,42.376485,-71.235611,63002,33.8,90.1,75205,10,26.2,96.8
Washington,DC,38.907192,-77.036871,601723,49.2,85.9,36875,35.7,0,568.9
West Lafayette,IN,40.425869,-86.908066,45872,21.8,93.9,27527,42.1,24.4,85.2
Williamsburg,VA,37.270702,-76.707457,14691,35.3,91.9,54367,12.2,1.6,138.7
Winston-Salem,NC,36.09986,-80.244216,242203,34.6,85.1,39882,24.8,10.6,465.1
Worcester,MA,42.262593,-71.802293,181045,33.8,84.1,45472,22.4,21.9,377.1
