Dallas,TX,32.776664,-96.796988,1317929,32.8,86.8,49417,28,9.6,
Davis,CA,38.544907,-121.740517,68111,25.6,96.1,56463,28.8,19.4,
Denver,CO,39.739236,-104.990251,693060,34.1,86.1,53637,17.3,16.1,
Durham,NC,35.994033,-78.898619,228330,46,79.3,40938,21.7,3.4,
East Lansing,MI,42.736979,-84.483865,48870,21.3,96.7,32981,43.6,15.1,
Evanston,IL,42.045072,-87.687697,74486,35.2,94,70041,13.4,19.2,
Fort Worth,TX,32.755488,-97.330766,741206,31.9,80.8,53214,18.8,17.5,
Gainesville,FL,29.651634,-82.324826,124354,25.3,92.1,31818,35.6,11.8,
Golden,CO,39.755543,-105.221100,20696,30.1,93.9,58998,16.8,7.5,
Hanover,NH,43.702245,-72.289553,11260,43,90,40341,17.2,0,
Hoboken,NJ,40.743991,-74.032363,54379,36.4,77.6,52750,21.9,0,
Houston,TX,29.760427,-95.369803,2099451,36.7,90.2,50438,14.8,1.1,
Iowa City,IA,41.661128,-91.530168,67862,25.8,95.1,42375,28.2,13.7,
Irvine,CA,33.684567,-117.826505,212375,34.4,96.3,92278,12.3,38.5,
Ithaca,NY,42.443961,-76.501881,30756,38.6,89.2,39363,15.9,0.6,
Los Angeles,CA,34.052234,-118.243685,3792621,34.9,75.5,50205,22.1,38.2,
Madison,WI,43.073052,-89.401230,233209,37.6,95.7,92960,6.7,8,
Malibu,CA,34.025922,-118.779757,12879,51.4,97.7,119659,10.5,16.5,
Medford,MA,42.418430,-71.106164,74907,36.2,91.5,76445,10.8,22.8,
Milwaukee,WI,43.038902,-87.906474,594833,31.1,82.1,35958,28.7,9.8,
Minneapolis,MN,44.977753,-93.265011,382578,38.3,91.3,44408,8.9,0.2,
Nashville,TN,36.162664,-86.781602,601222,35.6,71.2,29874,34.1,10,
New Haven,CT,41.308274,-72.927884,129779,30.3,83,37192,26.6,16.8,
New Orleans,LA,29.951066,-90.071532,343829,35.4,85.2,36792,27,5.9,
New York,NY,40.712775,-74.005973,8175133,35.8,80.3,53373,20.6,37.2,
Newark,DE,39.683723,-75.749657,,37.7,76.5,34306,31.2,0.2,
Norman,OK,35.222567,-97.439478,110925,30.3,93,51491,18,6.8,
Oxford,OH,39.506997,-84.745231,22341,39.9,83.5,51375,11.7,5.5,
Pasadena,CA,34.147785,-118.144516,137222,37.3,87.4,72402,15.3,30.4,
Philadelphia,PA,39.952584,-75.165222,1526006,32.9,76,30911,30.8,1.5,
Piscataway,NJ,40.554887,-74.464286,50482,,,,,,
Pittsburgh,PA,40.440625,-79.995886,305704,33.2,91.4,40715,22.9,8.2,
Princeton,NJ,40.357298,-74.667223,16265,46.1,93.3,44722,16.5,2.2,
Providence,RI,41.823989,-71.412834,178042,42.3,78.4,29459,31.2,0.3,
Provo,UT,40.233844,-111.658534,112488,23.7,90.5,41291,28.8,11.4,
Raleigh,NC,35.779590,-78.638179,403892,32.5,90.5,55398,16,13.2,
Rochester,NY,43.161030,-77.610922,210565,44.7,86,36692,18.7,0.6,
San Diego,CA,32.715738,-117.161084,1307402,34,87.3,66116,15.4,26.6,
Santa Barbara,CA,34.420831,-119.698190,88410,36.7,84.1,66107,13.9,24.9,
Santa Cruz,CA,36.974117,-122.030796,64465,28.7,92.8,62164,23.8,13.9,
Seattle,WA,47.606209,-122.332071,608660,35.8,93.4,70594,13.5,18.1,
South Bend,IN,41.676355,-86.251990,101168,33.7,83.5,34523,28.3,8.1,
St. Louis,MO,38.627003,-90.199404,319294,34.6,84.3,34524,19.6,1.4,
Stanford,CA,37.424106,-122.166076,13809,36.8,83.8,21875,32.3,0,
Stony Brook,NY,40.925654,-73.140943,13740,,,,,,
Storrs,CT,41.808431,-72.249523,15344,,,,,,
Syracuse,NY,43.048122,-76.147424,145170,33.4,77,44107,13.6,18.9,
Tallahassee,FL,30.438256,-84.280733,181376,26.2,92.5,39681,29.7,8.2,
Troy,NY,42.728412,-73.691785,,25.6,83.7,31707,31.1,4.7,
Tulsa,OK,36.153982,-95.992775,391906,34.9,86.9,42284,20.2,10.3,
University Park,PA,40.814796,-77.865313,,27.1,91.4,46719,13,1.5,
Villanova,PA,40.037583,-75.349181,,,,,,,
Waco,TX,31.549333,-97.146670,124805,44,70.2,35781,15.4,0.8,
Waltham,MA,42.376485,-71.235611,,33.8,90.1,75205,10,26.2,
Washington,DC,38.907192,-77.036871,601723,49.2,85.9,36875,35.7,0,
West Lafayette,IN,40.425869,-86.908066,,21.8,93.9,27527,42.1,24.4,
Williamsburg,VA,37.270702,-76.707457,,35.3,91.9,54367,12.2,1.6,
Winston-Salem,NC,36.099860,-80.244216,,34.6,85.1,39882,24.8,10.6,
Worcester,MA,42.262593,-71.802293,181045,33.8,84.1,45472,22.4,21.9,
